TV0,#genre#
8TV,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
Channel 5 HD,http://s1.an94tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://s1.an94tv.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://s1.an94tv.cfd/aktv/channeluhd/AKTV.m3u8
Astro Football,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
Celestial Movies,http://s1.an94tv.cfd/astro/celestialmovies/AKTV.m3u8
EuroSport 1,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport 2,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
TNT SPORTS 1,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT SPORTS 2,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT SPORTS 3,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
ASTRO AOD,https://smt.520761.xyz/Smart.php?id=Aodhd
astro欢喜台,https://smt.520761.xyz/Smart.php?id=Huahee
astroQJ,https://smt.520761.xyz/Smart.php?id=Quanjia
Astro Premier League 1,https://smart.pendy.dpdns.org/Smart.php?id=go_assp1
Astro Premier League 2,https://smart.pendy.dpdns.org/Smart.php?id=go_assp2
Astro EPL 1 backup,https://smart.pendy.dpdns.org/Smart.php?id=go_assp1x
Astro Grandstand,https://smart.pendy.dpdns.org/Smart.php?id=go_assp3
Astro Football,https://smart.pendy.dpdns.org/Smart.php?id=go_assp4
Astro Sports Plus,https://smart.pendy.dpdns.org/Smart.php?id=go_sportsplus
Astro Badminton 1,http://php.jdshipin.com/smt.php?id=go_badminton1
Astro Badminton 2,https://smart.pendy.dpdns.org/Smart.php?id=go_badminton2
Astro W-Sports,https://smart.pendy.dpdns.org/Smart.php?id=go_assp5
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
天映频道,https://hkfa.2025link.site/43rd_HK_Film_Awards/astro_celestial_movies
Astro 小太阳,http://50.7.161.82:8278/streams/d/Xiaotaiyang/playlist.m3u8
#EXTINF:-1 tvg-logo="https://astrocontent.s3.amazonaws.com/Images/ChannelLogo/Pos/148.png" group-title="Chinese" tvg-id="8TV" tvg-name="8TV", 8TV
#KODIPROP:inputstream.adaptive.license_type=clearkey
#KODIPROP:inputstream.adaptive.license_key=a9c619074ed38c20e25ad36c3c57c10c:056e1e49573d2caee5cb4fe78f8c4f3d
https://unifi-live08.secureswiftcontent.com/UnifiHD/live08.mpd

#EXTINF:-1 tvg-logo="https://poster.starhubgo.com/Linear_channels2/107_1920x1080_HTV.png" group-title="Chinese" tvg-id="Ch U" tvg-name="Ch U", Channel U
#KODIPROP:inputstream.adaptive.license_type=org.w3.clearkey
#KODIPROP:inputstream.adaptive.license_key=981fda1d42aa4d81b367d85794447e2a:61f0b7e53768214d4d56917fbcfc2723
https://tglmp03.akamaized.net/out/v1/151218455da04a47be327aa14be3e5cb/manifest.mpd


